State,County,Ishispanic,Ethnicity,Ndeath
Mississippi,Itawamba,Total,NA,8
Mississippi,Itawamba,Non-Hispanic,African-American,1
Mississippi,Itawamba,Non-Hispanic,White,7
Mississippi,Itawamba,Non-Hispanic,American-Indian-Alaska-Native,0
Mississippi,Itawamba,Non-Hispanic,Asian,0
Mississippi,Itawamba,Non-Hispanic,Other,0
Mississippi,Itawamba,Non-Hispanic,Unknown,0
Mississippi,Itawamba,Hispanic,African-American,0
Mississippi,Itawamba,Hispanic,White,0
Mississippi,Itawamba,Hispanic,American-Indian-Alaska-Native,0
Mississippi,Itawamba,Hispanic,Asian,0
Mississippi,Itawamba,Hispanic,Other,0
Mississippi,Itawamba,Hispanic,Unknown,0
Mississippi,Itawamba,Unknown,African-American,0
Mississippi,Itawamba,Unknown,White,0
Mississippi,Itawamba,Unknown,American-Indian-Alaska-Native,0
Mississippi,Itawamba,Unknown,Asian,0
Mississippi,Itawamba,Unknown,Other,0
Mississippi,Itawamba,Unknown,Unknown,0
Mississippi,Jackson,Total,NA,16
Mississippi,Jackson,Non-Hispanic,African-American,8
Mississippi,Jackson,Non-Hispanic,White,7
Mississippi,Jackson,Non-Hispanic,American-Indian-Alaska-Native,0
Mississippi,Jackson,Non-Hispanic,Asian,0
Mississippi,Jackson,Non-Hispanic,Other,0
Mississippi,Jackson,Non-Hispanic,Unknown,0
